genome,sp,PCo1,PCo2
GCF_000008685.2_ASM868v2,bb,0.200761076969532,-0.260932408334309
GCF_000021405.1_ASM2140v1,bb,-0.0770749093407503,-0.066959258027637
GCF_000165595.2_ASM16559v2,afz,-0.00988448270410569,0.195565456945535
GCF_000166635.1_ASM16663v1,bb,0.0995920722212808,-0.0135710377543789
GCF_000166655.1_ASM16665v1,bb,0.0341332529374815,0.0204716555379451
GCF_000181555.2_ASM18155v2,bb,-0.0311100260613787,0.0556793938872495
GCF_000196215.1_ASM19621v1,bav,-0.130290704586346,0.0259249399206725
GCF_000222835.1_ASM22283v1,afz,-0.0311100260613786,0.0556793938872495
GCF_000239475.1_ASM23947v1,gar,-0.130290704586346,0.0259249399206725
GCF_000714705.1_935T,gar,-0.169487049190249,0.0129834108615249
GCF_000741005.1_ASM74100v1,afz,-0.119536843236972,0.15875816444094
GCF_000962775.1_ASM96277v1,afz,-0.0311100260613787,0.0556793938872495
GCF_001900865.1_ASM190086v1,afz,-0.0311100260613787,0.0556793938872495
GCF_001922545.1_ASM192254v1,gar,-0.169487049190249,0.0129834108615248
GCF_002083055.2_ASM208305v2,bb,-0.0770749093407504,-0.0669592580276368
GCF_002151465.1_ASM215146v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002151485.1_ASM215148v1,bb,-0.0770749093407503,-0.0669592580276368
GCF_002151505.1_ASM215150v1,bb,0.0791405247402122,-0.162740719463481
GCF_002442595.2_ASM244259v2,bb,0.0995920722212805,-0.0135710377543791
GCF_002995865.1_ASM299586v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002995885.1_ASM299588v1,bb,-0.0311100260613787,0.0556793938872495
GCF_002995915.1_ASM299591v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002995935.1_ASM299593v1,bb,0.172590229953486,-0.0612454265395478
GCF_002995985.1_ASM299598v1,bb,0.172590229953486,-0.0612454265395478
GCF_002996005.1_ASM299600v1,bb,0.172590229953486,-0.0612454265395478
GCF_002996025.1_ASM299602v1,bb,-0.0311100260613787,0.0556793938872495
GCF_002996105.1_ASM299610v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002996125.1_ASM299612v1,bb,0.0199249042180808,0.0313343052075381
GCF_002996165.1_ASM299616v1,bb,-0.0311100260613787,0.0556793938872495
GCF_002996245.1_ASM299624v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002996265.1_ASM299626v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002996285.1_ASM299628v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002996305.1_ASM299630v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002996345.1_ASM299634v1,bb,0.0995920722212805,-0.013571037754379
GCF_002996365.1_ASM299636v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002996385.1_ASM299638v1,bb,0.0791405247402122,-0.162740719463481
GCF_002996395.1_ASM299639v1,bb,0.0995920722212805,-0.013571037754379
GCF_002996405.1_ASM299640v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002996465.1_ASM299646v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002996475.1_ASM299647v1,bb,0.0199249042180808,0.0313343052075381
GCF_002996485.1_ASM299648v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002996545.1_ASM299654v1,bb,-0.0311100260613787,0.0556793938872495
GCF_002996585.1_ASM299658v1,bb,-0.0243208725523287,-0.114494761507218
GCF_002996605.1_ASM299660v1,bb,0.0341332529374815,0.0204716555379451
GCF_002996625.1_ASM299662v1,bb,0.0199249042180808,0.0313343052075381
GCF_002996645.1_ASM299664v1,bb,-0.0311100260613787,0.0556793938872495
GCF_002996685.1_ASM299668v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002996705.1_ASM299670v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002996865.1_ASM299686v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002996925.1_ASM299692v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002996965.1_ASM299696v1,bb,0.172590229953486,-0.0612454265395476
GCF_002997045.1_ASM299704v1,bb,0.0995920722212805,-0.013571037754379
GCF_002997065.1_ASM299706v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002997085.1_ASM299708v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002997105.1_ASM299710v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002997145.1_ASM299714v1,bb,0.0199249042180808,0.0313343052075381
GCF_002997165.1_ASM299716v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002997205.1_ASM299720v1,bb,0.0995920722212805,-0.0135710377543791
GCF_002997245.1_ASM299724v1,bb,-0.0311100260613787,0.0556793938872495
GCF_002997265.1_ASM299726v1,bb,-0.0311100260613787,0.0556793938872495
GCF_002997285.1_ASM299728v1,bb,0.0199249042180808,0.0313343052075381
GCF_003367295.1_ASM336729v1,bb,-0.0311100260613787,0.0556793938872495
GCF_003814405.1_ASM381440v1,gar,-0.169487049190249,0.0129834108615247
GCF_003814425.1_ASM381442v1,bav,-0.0311100260613787,0.0556793938872495
GCF_014525455.1_ASM1452545v1,bav,-0.0311100260613787,0.0556793938872495
